LatGrid,LonGrid,Count,Gi_star_z,Hotspot_Class
32,-81,638,-0.5000778777314142,Not Significant
32,-80,377,-0.5132477206690265,Not Significant
33,-119,10621,2.9845341012396798,Hot Spot (99%)
33,-118,20136,1.7510018231757456,Hot Spot (90%)
33,-117,303,1.767389533443883,Hot Spot (90%)
33,-116,53,1.6037095535523425,Not Significant
33,-115,230,1.8087870523972374,Hot Spot (90%)
33,-114,60,2.978904326747085,Hot Spot (99%)
33,-113,69690,0.06312674318094409,Not Significant
33,-112,24567,2.292324351142222,Hot Spot (95%)
33,-111,127,2.152960905974611,Hot Spot (95%)
33,-110,61,1.0887822232350066,Not Significant
33,-109,15,-0.5686694179393957,Not Significant
33,-108,53,-1.1093047895607602,Not Significant
33,-107,17,-1.1305272882605835,Not Significant
33,-106,167,-1.1872059698537314,Not Significant
33,-105,13,-1.2502814657251617,Not Significant
33,-104,26,-1.2894482498460629,Not Significant
33,-103,125,-1.2889373139969977,Not Significant
33,-102,121,-1.2849410928106417,Not Significant
33,-101,46,-1.251825411872594,Not Significant
33,-100,203,-0.683191426283244,Not Significant
33,-99,140,-0.023462722519613385,Not Significant
33,-98,1008,0.5184784549742625,Not Significant
33,-97,5026,0.37036110624471913,Not Significant
33,-96,412,0.32730272160363016,Not Significant
33,-95,365,-0.2782193350531034,Not Significant
33,-94,390,-0.6971550690708005,Not Significant
33,-93,780,-0.7181459297798338,Not Significant
33,-92,532,-0.7586454486107718,Not Significant
33,-91,407,-0.8605520649069389,Not Significant
33,-90,470,-1.054409049821649,Not Significant
33,-89,454,-0.9805544790550461,Not Significant
33,-88,575,-0.4704752100539152,Not Significant
33,-87,2064,-0.20324048378263315,Not Significant
33,-86,1261,0.33243776105172534,Not Significant
33,-85,21290,-0.4727695519209584,Not Significant
33,-84,1691,0.49526955642279896,Not Significant
33,-83,628,0.1930126801644635,Not Significant
33,-82,1537,0.05820877683421683,Not Significant
33,-81,883,-0.34581892562409194,Not Significant
33,-80,613,-0.3817879101832602,Not Significant
33,-79,628,-0.5005359693511272,Not Significant
34,-121,644,1.5392209533346752,Not Significant
34,-120,2489,2.5469254874330374,Hot Spot (95%)
34,-119,28033,1.4213612715520252,Not Significant
34,-118,12816,1.903633785879944,Hot Spot (90%)
34,-117,362,1.353057757943093,Not Significant
34,-116,12,0.2666636616766288,Not Significant
34,-115,514,0.7297579865745933,Not Significant
34,-114,24,1.8537763023822391,Hot Spot (90%)
34,-113,199,2.8328992390351626,Hot Spot (99%)
34,-112,285,2.425766501571514,Hot Spot (95%)
34,-111,208,1.3743423238098837,Not Significant
34,-110,118,-0.6406867259988447,Not Significant
