State,EventCount,AvgDuration,MedianDuration
FL,207708,21.623866374849605,4.146111111111111
NY,157261,27.888608357263283,5.6425
CA,156385,29.045565639158394,7.75
PA,129302,37.53429550372169,6.75
AZ,99682,32.86851663057701,2.957222222222222
TX,91265,30.07466124898799,4.446666666666666
IL,72020,29.08172475756569,4.0
CO,68969,31.484701496324433,7.516666666666667
NJ,41030,41.236542215482146,9.389027777777777
IN,37143,37.57856306108224,4.160277777777778
OH,36780,48.40822732765392,6.0
VA,36607,31.35575573246508,8.0
GA,36123,38.88821961692612,8.0
WA,35810,32.711659848484025,6.04125
OR,34362,23.153452787596283,4.0
MI,33902,59.07431854803087,7.936111111111112
MD,26051,37.95686421719789,24.483333333333334
LA,22749,32.04607999197755,6.0
MN,22573,40.190049186097454,4.988611111111111
CT,20354,25.003242755996638,6.0
NC,20133,44.656639220987024,9.0
MA,19200,54.016169516782405,8.0
WI,19191,40.014550773221245,8.86111111111111
ID,17583,24.88716236326755,8.0
OK,17428,41.38009722540994,3.466666666666667
AR,16340,16.141614547903572,1.80375
IA,14860,55.66619229475101,10.75
KS,14564,29.296629188409778,4.994166666666667
SC,13368,32.14992978313716,3.377638888888889
MO,11764,45.28015345781858,7.0
TN,11181,54.39049329716086,9.75
AL,9552,33.92738030429928,6.845972222222223
KY,9231,45.193452196102506,6.0
DE,8901,36.92625425982099,8.883333333333333
NM,8864,34.68441511079703,2.035277777777778
MT,7796,32.28204153839576,1.8833333333333333
UT,7045,26.381511704232835,2.3333333333333335
NV,6705,44.1951506969527,8.000555555555556
NE,5656,71.76150179750117,24.0
MS,5046,37.35227655568767,6.25
RI,5035,37.20356863069624,8.915555555555555
WY,4977,22.943485828281506,0.8338888888888889
ME,4770,30.37852248436931,4.816666666666666
DC,4673,58.88115712009892,10.452777777777778
WV,4480,32.59257663690477,3.7583333333333333
SD,3801,48.4237077231138,2.025
NH,3191,46.296838068874266,9.233333333333333
VT,1642,35.50850165786981,2.5875000000000004
ND,1185,47.812680965775904,2.0991666666666666
HI,4,57.42118055555556,24.75
