Date,Count,ZScore,ZAnomaly,IQR_Anomaly,Rolling_Mean,Rolling_Std,Rolling_Dev,Rolling_Anomaly,Consensus_Anomaly
2016-02-01,157,-0.8214938334763627,0,0,,,,0,0
2016-03-01,611,-0.8052792028343749,0,0,867.0,866.8310100590542,-256.0,0,0
2016-04-01,1833,-0.7616354172737821,0,0,1597.6666666666667,892.5790347825414,235.33333333333326,0,0
2016-05-01,2349,-0.7432064538128446,0,0,2685.6666666666665,1061.814170810191,-336.6666666666665,0,0
2016-06-01,3875,-0.688705294430304,0,0,3534.3333333333335,1057.007726241078,340.6666666666665,0,0
2016-07-01,4379,-0.6707049115149696,0,0,5360.666666666667,2151.5818212034915,-981.666666666667,0,0
2016-08-01,7828,-0.547523719699516,0,0,5695.666666666667,1863.567635835451,2132.333333333333,0,0
2016-09-01,4880,-0.6528116737360359,0,0,6184.333333333333,1503.009092897755,-1304.333333333333,0,0
2016-10-01,5845,-0.618346654860445,0,0,5262.333333333333,512.7439256913061,582.666666666667,0,0
2016-11-01,5062,-0.6463115354610539,0,0,4983.333333333333,903.5719856952912,78.66666666666697,0,0
2016-12-01,4043,-0.6827051667918592,0,0,3980.6666666666665,1113.8089303526576,62.333333333333485,0,0
2017-01-01,2837,-0.7257775116249809,0,0,3311.6666666666665,642.6642461918441,-474.6666666666665,0,0
2017-02-01,3055,-0.7179916317131895,0,0,3159.3333333333335,385.24580897568643,-104.33333333333348,0,0
2017-03-01,3586,-0.6990269425702478,0,0,3672.0,664.1889791316909,-86.0,0,0
2017-04-01,4375,-0.6708477716968373,0,0,4257.666666666667,621.3648954787604,117.33333333333303,0,0
2017-05-01,4812,-0.6552402968277873,0,0,4689.666666666667,274.7477631088753,122.33333333333303,0,0
2017-06-01,4882,-0.652740243645102,0,0,4771.666666666667,135.09379457743657,110.33333333333303,0,0
2017-07-01,4621,-0.6620618705119716,0,0,5605.666666666667,1485.204475260336,-984.666666666667,0,0
2017-08-01,7314,-0.5658812530695198,0,0,5840.0,1364.4892817461032,1474.0,0,0
2017-09-01,5585,-0.6276325666818477,0,0,6257.333333333333,926.360800840218,-672.333333333333,0,0
2017-10-01,5873,-0.6173466335873709,0,0,5378.666666666667,623.6476034855982,494.33333333333303,0,0
2017-11-01,4678,-0.6600261129203564,0,0,4648.666666666667,1239.2603977103965,29.33333333333303,0,0
2017-12-01,3395,-0.7058485162544321,0,0,3737.0,824.9987878778961,-342.0,0,0
2018-01-01,3138,-0.715027282939434,0,0,3431.6666666666665,313.61175573203803,-293.6666666666665,0,0
2018-02-01,3762,-0.6927410945680675,0,0,3749.6666666666665,605.5941985631391,12.333333333333485,0,0
2018-03-01,4349,-0.6717763628789776,0,0,4584.333333333333,961.8400767972445,-235.33333333333303,0,0
2018-04-01,5642,-0.6255968090902325,0,0,5355.0,897.5984625655251,287.0,0,0
2018-05-01,6074,-0.6101679094485173,0,0,6411.0,981.8772835746792,-337.0,0,0
2018-06-01,7517,-0.5586310988397323,0,0,7069.0,863.1158670769463,448.0,0,0
2018-07-01,7616,-0.5550953093385058,0,0,7255.666666666667,540.649917537515,360.33333333333303,0,0
2018-08-01,6634,-0.5901674839870346,0,0,7573.333333333333,918.7433446470893,-939.333333333333,0,0
2018-09-01,8470,-0.5245946605097446,0,0,9319.0,3195.245061024268,-849.0,0,0
2018-10-01,12853,-0.3680556162281751,0,0,10845.0,2214.4274655088548,2008.0,0,0
2018-11-01,11212,-0.426664005839413,0,0,11142.333333333334,1746.5423937979012,69.66666666666606,0,0
2018-12-01,9362,-0.4927368399532399,0,0,10530.333333333334,1016.4931545924485,-1168.333333333334,0,0
2019-01-01,11017,-0.433628439705465,0,0,10034.666666666666,869.8714464409734,982.3333333333339,0,0
2019-02-01,9725,-0.4797722784487431,0,0,10987.333333333334,1247.7645344107614,-1262.333333333334,0,0
2019-03-01,12220,-0.39066324000874403,0,0,12440.666666666666,2832.4541184868804,-220.66666666666606,0,0
2019-04-01,15377,-0.27791084146963496,0,0,14698.666666666666,2218.684820638856,678.3333333333339,0,0
2019-05-01,16499,-0.2378385604557356,0,0,15555.0,868.7853589926177,944.0,0,0
2019-06-01,14789,-0.2989112882041919,0,0,16057.333333333334,1115.1494668129744,-1268.333333333334,0,0
2019-07-01,16884,-0.2240882679509662,0,0,16312.666666666666,1333.2142863520698,571.3333333333339,0,0
2019-08-01,17265,-0.21048083562806455,0,0,16656.333333333332,748.9194438210667,608.6666666666679,0,0
2019-09-01,15820,-0.26208907632778344,0,0,16772.666666666668,825.1886652961585,-952.6666666666679,0,0
2019-10-01,17233,-0.21162371708300642,0,0,13830.666666666666,4722.466975356551,3402.333333333334,0,0
2019-11-01,8439,-0.5257018269192195,0,0,10730.0,5713.082968065484,-2291.0,0,0
2019-12-01,6518,-0.5943104292611988,0,0,7706.666666666667,1038.6242503105977,-1188.666666666667,0,0
2020-01-01,8163,-0.5355591794680932,0,0,7977.333333333333,1375.9274447925122,185.66666666666697,0,0
2020-02-01,9251,-0.49670121000006956,0,0,11390.666666666666,4679.971830399543,-2139.666666666666,0,0
2020-03-01,16758,-0.22858836367979982,0,0,18659.0,10488.51147684932,-1901.0,0,0
2020-04-01,29968,0.2432073869383916,0,0,26886.333333333332,8992.644679588606,3081.666666666668,0,0
2020-05-01,33933,0.38481754221478287,0,0,34192.666666666664,4360.3027800066,-259.66666666666424,0,0
2020-06-01,38677,0.5542497179099154,0,0,34111.333333333336,4479.163351936754,4565.666666666664,0,0
2020-07-01,29724,0.23449291584445983,0,0,34115.333333333336,4478.929820094673,-4391.333333333336,0,0
2020-08-01,33945,0.3852461227603861,0,0,48125.333333333336,28295.369980499163,-14180.333333333336,0,0
2020-09-01,80707,2.0553530788851297,1,1,64030.666666666664,26106.107069674967,16676.333333333336,0,1
2020-10-01,77440,1.938672025344658,0,0,70696.66666666667,14600.76478590534,6743.3333333333285,0,0
2020-11-01,53943,1.099475602008122,0,0,57620.333333333336,18260.84462267103,-3677.3333333333358,0,0
2020-12-01,41478,0.6542875602627961,0,0,43412.666666666664,9708.66470392986,-1934.6666666666642,0,0
2021-01-01,34817,0.4163896424075521,0,0,44526.333333333336,11539.530940784962,-9709.333333333336,0,0
2021-02-01,57284,1.2187995689131468,0,0,44765.0,11452.032701664806,12519.0,0,0
2021-03-01,42194,0.6798595328171205,0,0,50720.333333333336,7734.084970656415,-8526.333333333336,0,0
2021-04-01,52683,1.054474644719786,0,0,48453.666666666664,5531.40762675591,4229.333333333336,0,0
2021-05-01,50484,0.9759372597379992,0,0,59514.666666666664,13781.114408252095,-9030.666666666664,0,0
2021-06-01,75377,1.8649918865463744,0,0,61757.666666666664,12611.184572962744,13619.333333333336,0,0
2021-07-01,59412,1.2948011856667812,0,0,70203.33333333333,9348.205193155185,-10791.333333333328,0,0
2021-08-01,75821,1.880849366733693,0,0,77692.33333333333,19284.21821939727,-1871.3333333333285,0,0
2021-09-01,97844,2.667401813051969,1,1,90140.33333333333,12412.83272800104,7703.6666666666715,0,1
2021-10-01,96756,2.6285438435839454,1,1,96270.0,1865.1101844128264,486.0,0,1
2021-11-01,94210,2.5376133378251327,1,1,100016.33333333333,7954.486930866994,-5806.3333333333285,0,1
2021-12-01,109083,3.0688032090548347,1,1,,,,0,1
